date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2022-12-01 | 123
2022-12-01 | 163
2022-12-01 | 163
2022-12-01 | 163
2022-12-01 | 163
2022-12-01 | 163
2022-12-01 | 163
2022-01-01 | 163
2022-01-01 | 163
2022-01-01 | 163
2022-01-01 | 163
2022-01-01 | 163
2022-01-01 | 123
2022-01-01 | 123
2022-01-01 | 123
2022-01-01 | 123
2022-01-01 | 123
2022-01-01 | 123
2020-12-01 | 123
2020-12-01 | 123
2020-12-01 | 123
2020-12-01 | 123
2020-12-01 | 123
2020-12-01 | 823
2020-12-01 | 823
2020-12-01 | 823
2020-12-01 | 823
2020-12-01 | 823
